 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4_30torr.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 350.00 keV   2.835E-02  1.293E-03   14.92 mm     2.14 mm     2.44 mm  
 375.00 keV   2.980E-02  1.229E-03   15.71 mm     2.18 mm     2.52 mm  
 400.00 keV   3.125E-02  1.172E-03   16.47 mm     2.22 mm     2.59 mm  
 450.00 keV   3.414E-02  1.073E-03   17.90 mm     2.30 mm     2.72 mm  
 500.00 keV   3.697E-02  9.913E-04   19.23 mm     2.36 mm     2.83 mm  
 550.00 keV   3.972E-02  9.223E-04   20.47 mm     2.41 mm     2.93 mm  
 600.00 keV   4.239E-02  8.630E-04   21.63 mm     2.45 mm     3.01 mm  
 650.00 keV   4.496E-02  8.116E-04   22.73 mm     2.49 mm     3.09 mm  
 700.00 keV   4.743E-02  7.665E-04   23.77 mm     2.53 mm     3.16 mm  
 800.00 keV   5.206E-02  6.910E-04   25.72 mm     2.59 mm     3.27 mm  
 900.00 keV   5.631E-02  6.302E-04   27.51 mm     2.64 mm     3.37 mm  
   1.00 MeV   6.019E-02  5.800E-04   29.19 mm     2.68 mm     3.45 mm  
   1.10 MeV   6.372E-02  5.379E-04   30.77 mm     2.71 mm     3.52 mm  
   1.20 MeV   6.694E-02  5.019E-04   32.27 mm     2.75 mm     3.59 mm  
   1.30 MeV   6.987E-02  4.708E-04   33.71 mm     2.77 mm     3.64 mm  
   1.40 MeV   7.253E-02  4.436E-04   35.09 mm     2.80 mm     3.69 mm  
   1.50 MeV   7.496E-02  4.197E-04   36.43 mm     2.82 mm     3.74 mm  
   1.60 MeV   7.716E-02  3.984E-04   37.72 mm     2.84 mm     3.78 mm  
   1.70 MeV   7.915E-02  3.793E-04   38.99 mm     2.86 mm     3.82 mm  
   1.80 MeV   8.097E-02  3.621E-04   40.22 mm     2.87 mm     3.85 mm  
   2.00 MeV   8.410E-02  3.323E-04   42.62 mm     2.91 mm     3.92 mm  
   2.25 MeV   8.724E-02  3.018E-04   45.52 mm     2.96 mm     3.99 mm  
   2.50 MeV   8.966E-02  2.767E-04   48.32 mm     3.01 mm     4.05 mm  
   2.75 MeV   9.151E-02  2.558E-04   51.06 mm     3.05 mm     4.11 mm  
   3.00 MeV   9.291E-02  2.380E-04   53.76 mm     3.09 mm     4.16 mm  
   3.25 MeV   9.394E-02  2.227E-04   56.42 mm     3.13 mm     4.21 mm  
   3.50 MeV   9.467E-02  2.094E-04   59.05 mm     3.16 mm     4.25 mm  
   3.75 MeV   9.516E-02  1.977E-04   61.68 mm     3.20 mm     4.29 mm  
   4.00 MeV   9.545E-02  1.873E-04   64.29 mm     3.23 mm     4.33 mm  
   4.50 MeV   9.560E-02  1.697E-04   69.50 mm     3.33 mm     4.41 mm  
   5.00 MeV   9.533E-02  1.553E-04   74.72 mm     3.43 mm     4.48 mm  
   5.50 MeV   9.478E-02  1.432E-04   79.96 mm     3.53 mm     4.54 mm  
   6.00 MeV   9.404E-02  1.331E-04   85.24 mm     3.63 mm     4.60 mm  
   6.50 MeV   9.317E-02  1.243E-04   90.57 mm     3.72 mm     4.66 mm  
   7.00 MeV   9.222E-02  1.167E-04   95.95 mm     3.81 mm     4.72 mm  
   8.00 MeV   9.017E-02  1.042E-04  106.90 mm     4.14 mm     4.84 mm  
   9.00 MeV   8.804E-02  9.419E-05  118.10 mm     4.46 mm     4.95 mm  
  10.00 MeV   8.591E-02  8.605E-05  129.58 mm     4.77 mm     5.06 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.4518E+01                keV / (ug/cm2) 
  6.4518E+01                MeV / (mg/cm2) 
  6.4518E+04                keV / (mg/cm2) 
  1.8856E+03                 eV / (1E15 atoms/cm2)
  2.9737E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
